PARTICIPANT_ID,D1U1_MEAN,D1U2_MEAN,D1U3_MEAN,D1D2_MEAN,D1D3_MEAN,U1D2_MEAN,Z_SCORE_MEAN
100072,57137811.03630319,62332157.49414893,67526503.95199469,72720850.40984042,77915196.86768617,-15583039.373537224,5.043737295430466e-13
100076,57135052.22032787,62329147.87672131,67523243.53311476,72717339.1895082,77911434.84590164,-15582286.969180316,1.397079173659863e-12
100077,57136654.698507465,62330896.03473541,67525137.37096336,72719378.70719132,77913620.04341927,-15582724.008683842,-1.6735293988834075e-13
100081,57139323.04285715,62333806.95584416,67528290.86883117,72722774.78181818,77917258.69480519,-15583451.73896103,-4.1779593034573455e-13
100084,57142749.681165926,62337545.10672645,67532340.532287,72727135.95784752,77921931.38340807,-15584386.276681606,-6.77387642739282e-13
100085,57141147.27206086,62335797.02406639,67530446.77607192,72725096.52807745,77919746.28008299,-15583949.256016588,3.207580198069241e-13
100088,57145484.89040921,62340528.9713555,67535573.0523018,72730617.13324808,77925661.21419437,-15585132.242838865,6.946321892225436e-13
100091,57145076.368518524,62340083.31111111,67535090.25370371,72730097.19629629,77925104.1388889,-15585020.827777768,1.6167074537820076e-13
100094,57147720.29241379,62342967.591724135,67538214.89103448,72733462.19034481,77928709.48965517,-15585741.897931024,1.0396866509483578e-12
100097,57154934.85414848,62350838.022707425,67546741.19126637,72742644.35982533,77938547.52838428,-15587709.505676845,-5.103027817550942e-13
100102,57156577.76944819,62352630.29394347,67548682.81843877,72744735.34293404,77940787.86742935,-15588157.573485859,-1.86810041041766e-13
100104,57148677.81084143,62344012.15728155,67539346.50372168,72734680.8501618,77930015.19660194,-15586003.039320378,-1.3046324179194293e-12
100106,57155113.89132291,62351033.33598862,67546952.78065434,72742872.22532004,77938791.66998577,-15587758.333997145,5.522792591513226e-13
100108,57154563.54244604,62350432.95539568,67546302.36834532,72742171.78129496,77938041.19424461,-15587608.23884891,-4.273735641958502e-14
100116,57161454.72236025,62357950.606211185,67554446.4900621,72750942.37391303,77947438.25776398,-15589487.651552783,7.443052385605178e-13
100120,57160344.35052317,62356739.29147982,67553134.23243648,72749529.17339312,77945924.11434978,-15589184.822869943,7.414636916405572e-13
100123,57167898.06818182,62364979.7107438,67562061.35330579,72759142.99586776,77956224.63842975,-15591244.92768594,2.69099098682216e-13
100124,57160702.04864131,62357129.5076087,67553556.96657608,72749984.42554347,77946411.88451087,-15589282.376902163,-3.021278879252211e-13
100125,57165357.98901962,62362208.715294115,67559059.44156863,72755910.16784313,77952760.89411765,-15590552.178823518,1.418281614156049e-13
100132,57165943.112132825,62362847.03141762,67559750.95070243,72756654.86998722,77953558.78927203,-15590711.757854396,2.674211072535934e-13
100134,57169275.49483815,62366482.35800525,67563689.22117236,72760896.08433945,77958102.94750656,-15591620.5895013,-3.198938149466315e-14
100135,57170520.63179488,62367840.68923077,67565160.74666667,72762480.80410257,77959800.86153845,-15591960.172307683,-5.789055844382883e-13
100136,57165891.273711346,62362790.48041237,67559689.6871134,72756588.89381443,77953488.10051547,-15590697.620103082,1.3136586129697355e-12
100138,57169163.174322404,62366359.826533526,67563556.47874464,72760753.13095577,77957949.7831669,-15591589.95663337,9.616016969854566e-13
100145,57176199.58477158,62374035.910659894,67571872.23654823,72769708.56243655,77967544.88832487,-15593508.977664964,1.2078214908769825e-12
100151,57179074.58074434,62377172.26990291,67575269.9590615,72773367.64822006,77971465.33737864,-15594293.067475718,4.195669342339812e-13
100156,57181589.320496894,62379915.622360244,67578241.92422362,72776568.22608696,77974894.52795032,-15594978.905590052,2.8412207024640445e-12
100157,57183885.71564537,62382420.78070404,67580955.84576271,72779490.91082138,77978025.97588006,-15595605.195176,-2.160233458144241e-13
100159,57183216.76467819,62381691.01601256,67580165.26734695,72778639.5186813,77977113.7700157,-15595422.75400313,1.6406429677228768e-12
100162,57196556.02433281,62396242.93563579,67595929.84693877,72795616.75824174,77995303.66954474,-15599060.73390894,-7.091282035673438e-13
100163,57189224.27058824,62388244.65882353,67587265.04705882,72786285.4352941,77985305.8235294,-15597061.164705873,1.1910298455547365e-13
100165,57192555.40200617,62391878.62037037,67591201.83873457,72790525.05709875,77989848.27546297,-15597969.65509258,-4.6257202458008e-13
100166,57191593.5,62390829.27272727,67590065.04545455,72789300.81818181,77988536.5909091,-15597707.318181807,1.7698099882943875e-13
100167,57188919.54832665,62387912.234538145,67586904.92074966,72785897.60696118,77984890.29317269,-15596978.058634527,-9.9793622718359e-13
100168,57191034.55375,62390219.51318181,67589404.47261363,72788589.43204544,77987774.39147727,-15597554.878295444,1.6217734226260787e-13
100169,57189271.2207469,62388295.877178416,67587320.53360996,72786345.19004148,77985369.84647302,-15597073.969294595,-1.6437833114032892e-12
100180,57195317.84481133,62394892.19433962,67594466.54386793,72794040.89339623,77993615.24292453,-15598723.048584895,-1.3445750452936112e-12
100182,57202329.36800001,62402541.12872727,67602752.88945454,72802964.65018182,78003176.41090909,-15600635.282181809,-4.607659708323229e-13
100184,57202960.00158731,62403229.09264069,67603498.1836941,72803767.27474746,78004036.36580087,-15600807.273160163,-6.431731850652415e-13
100185,57203655.18027211,62403987.469387755,67604319.7585034,72804652.04761903,78004984.3367347,-15600996.867346928,-5.700655367258967e-13
100186,57200950.50704699,62401036.91677853,67601123.32651007,72801209.73624161,78001296.14597316,-15600259.229194622,-8.890461074264178e-13
100188,57202892.00363637,62403154.913057856,67603417.82247934,72803680.73190083,78003943.64132231,-15600788.728264451,-1.4376676158096513e-12
100190,57205479.97520436,62405978.15476839,67606476.33433242,72806974.51389645,78007472.6934605,-15601494.538692087,-2.0499799254420635e-14
100191,57211894.22521632,62412975.51841779,67614056.8116193,72815138.10482076,78016219.39802225,-15603243.879604438,6.021037260312736e-13
100193,57209551.70645605,62410420.04340659,67611288.38035715,72812156.71730769,78013025.05425824,-15602605.010851637,-1.0657043013629895e-13
100197,57216054.06447575,62417513.52488263,67618972.98528951,72820432.4456964,78021891.90610328,-15604378.381220646,-5.792952624289515e-13
100206,57213834.953737125,62415092.67680412,67616350.39987114,72817608.12293814,78018865.84600516,-15603773.16920102,4.0114589771354346e-13
100210,57214514.771451615,62415834.29612903,67617153.82080646,72818473.34548387,78019792.8701613,-15603958.574032249,-1.108404049547069e-12
100211,57212885.967090406,62414057.41864407,67615228.87019774,72816400.3217514,78017571.77330509,-15603514.354661006,-1.1266800424201228e-12
100215,57218998.945043735,62420726.12186588,67622453.29868805,72824180.4755102,78025907.65233237,-15605181.530466463,5.849059493952958e-13
100224,57218820.622857146,62420531.58857142,67622242.55428572,72823953.52,78025664.48571429,-15605132.897142846,7.416427260680047e-13
100227,57221848.39877717,62423834.61684783,67625820.83491848,72827807.05298913,78029793.27105978,-15605958.654211946,-6.044189907027038e-13
100230,57221080.27862069,62422996.6675862,67624913.05655172,72826829.44551723,78028745.83448276,-15605749.16689654,-2.0773650998629317e-13
100232,57222584.79030612,62424637.95306123,67626691.11581632,72828744.27857143,78030797.44132653,-15606159.488265296,6.177205383638546e-13
100249,57246767.90727041,62451019.53520408,67655271.16313776,72859522.79107143,78063774.4190051,-15612754.88380101,-8.688174896074273e-14
100252,57234706.041475214,62437861.13615477,67641016.23083435,72844171.3255139,78047326.42019346,-15609465.284038685,-6.545719226622986e-13
100253,57233769.87961696,62436839.86867305,67639909.85772914,72842979.84678522,78046049.83584131,-15609209.967168253,8.211063687924697e-13
100256,57230279.050148815,62433031.69107143,67635784.33199404,72838536.97291666,78041289.61383928,-15608257.922767846,-1.740249148488952e-12
100257,57234311.02014599,62437430.20379562,67640549.38744526,72843668.57109489,78046787.75474453,-15609357.550948894,-8.932977634163019e-13
100262,57237383.00091429,62440781.455542855,67644179.91017143,72847578.36479999,78050976.81942858,-15610195.363885703,1.0477391652687273e-12
100264,57237935.09958334,62441383.745000005,67644832.39041667,72848281.03583333,78051729.68125,-15610345.93624999,3.1890292875560693e-13
100269,57249532.772322506,62454035.75162455,67658538.7309266,72863041.71022864,78067544.68953069,-15613508.937906127,3.0905081943247857e-14
100273,57253162.17569269,62457995.10075567,67662828.02581865,72867660.9508816,78072493.87594458,-15614498.775188908,-1.6183528069284084e-14
100275,57244053.416850835,62448058.27292818,67652063.12900552,72856067.98508286,78060072.84116022,-15612014.568232033,1.3972567731441573e-12
100278,57247127.40483029,62451411.71436031,67655696.02389035,72859980.33342035,78064264.64295039,-15612852.928590067,-8.847689045002189e-13
100280,57251745.93306667,62456450.1088,67661154.28453334,72865858.46026666,78070562.636,-15614112.52719999,5.498970168105189e-13
100281,57253274.7995614,62458117.963157885,67662961.12675439,72867804.29035087,78072647.45394737,-15614529.490789464,-5.715389175576459e-13
100282,57253752.431232885,62458639.01589041,67663525.60054795,72868412.18520547,78073298.76986301,-15614659.753972592,6.131746556470155e-14
100283,57256609.02693936,62461755.30211565,67666901.57729197,72872047.85246825,78077194.12764457,-15615438.825528903,1.0235943107065206e-13
100289,57258819.823022604,62464167.07966102,67669514.33629945,72874861.59293784,78080208.84957626,-15616041.769915244,-9.117283199597589e-14
100294,57255810.61463105,62460884.30687022,67665957.99910942,72871031.6913486,78076105.38358779,-15615221.076717546,7.739952303616475e-13
100298,57265482.55414712,62471435.51361502,67677388.47308294,72883341.43255085,78089294.39201878,-15617858.878403746,3.3079885553098094e-13
