PARTICIPANT_ID,D1U1_MEAN,D1U2_MEAN,D1U3_MEAN,D1D2_MEAN,D1D3_MEAN,U1D2_MEAN,D1U1_Z_SCORE_MEAN,D1U2_Z_SCORE_MEAN,D1U3_Z_SCORE_MEAN,D1D2_Z_SCORE_MEAN,D1D3_Z_SCORE_MEAN,U1D2_Z_SCORE_MEAN
100076,57135052.22032787,62329147.87672131,67523243.53311476,72717339.1895082,77911434.84590164,-15582286.969180316,1.6724235839556283e-12,-2.3951223518165013e-12,3.601400052494481e-12,1.866328585300775e-12,3.1283463979583695e-13,-2.5773095861499405e-12
100077,57136654.698507465,62330896.03473541,67525137.37096336,72719378.70719132,77913620.04341927,-15582724.008683842,6.051800098288148e-13,-1.4566126083082054e-13,8.696724932239853e-13,-2.0879441700394593e-12,-1.0809857456621445e-12,2.826433494006128e-12
100081,57139323.04285715,62333806.95584416,67528290.86883117,72722774.78181818,77917258.69480519,-15583451.73896103,-9.974731260038971e-14,-7.068696933048409e-13,2.600255312131057e-12,1.6398274578704436e-12,7.736904387522389e-13,-5.714757016025787e-13
100084,57142749.681165926,62337545.10672645,67532340.532287,72727135.95784752,77921931.38340807,-15584386.276681606,-4.3426099786390783e-13,2.71591419010545e-13,-4.5470055224775793e-13,9.494353484772122e-13,2.7265982197504975e-13,-1.2727616668617137e-12
100085,57141147.27206086,62335797.02406639,67530446.77607192,72725096.52807745,77919746.28008299,-15583949.256016588,-4.0472005645401866e-13,1.343403335400778e-12,-2.1695821718250382e-12,-7.821433680527929e-13,3.207580198069241e-13,-2.8319774679614705e-12
100088,57145484.89040921,62340528.9713555,67535573.0523018,72730617.13324808,77925661.21419437,-15585132.242838865,5.418070084655613e-13,-3.733481270659098e-13,-1.8021901106995848e-13,1.1741389332806866e-14,1.5893112344791314e-13,-2.085964251571805e-12
100091,57145076.368518524,62340083.31111111,67535090.25370371,72730097.19629629,77925104.1388889,-15585020.827777768,-2.878249764726445e-13,1.0665782386231484e-13,1.8032663839517437e-12,6.736141137342196e-14,-1.2933769281912815e-12,4.4908589878373053e-13
100094,57147720.29241379,62342967.591724135,67538214.89103448,72733462.19034481,77928709.48965517,-15585741.897931024,1.0160586548369698e-12,-2.6473536007054872e-14,3.59892652078276e-13,-7.880182330421215e-13,1.039687263485199e-12,4.235747385023544e-13
100097,57154934.85414848,62350838.022707425,67546741.19126637,72742644.35982533,77938547.52838428,-15587709.505676845,-2.6451265567339303e-13,1.7830744159195545e-12,-1.4462007525541226e-12,-9.720049445902874e-13,-5.103021353370303e-13,1.0034447799607059e-12
100102,57156577.76944819,62352630.29394347,67548682.81843877,72744735.34293404,77940787.86742935,-15588157.573485859,-5.491509744320537e-13,6.721559154935923e-13,-4.727228030286387e-13,3.591465393363931e-13,-6.191981277946083e-13,6.343309308357777e-13
100104,57148677.81084143,62344012.15728155,67539346.50372168,72734680.8501618,77930015.19660194,-15586003.039320378,-2.196738655776578e-12,1.0493810063983118e-12,6.632274736598211e-13,2.268922195037506e-13,-1.361366970250638e-13,-6.192293351939262e-12
100106,57155113.89132291,62351033.33598862,67546952.78065434,72742872.22532004,77938791.66998577,-15587758.333997145,-8.256796542515751e-13,-1.475989553433299e-12,2.4361502225974426e-12,1.4084456692443968e-12,5.522830493863995e-13,5.10575618452494e-13
100108,57154563.54244604,62350432.95539568,67546302.36834532,72742171.78129496,77938041.19424461,-15587608.23884891,1.947763772811328e-12,-7.004085560935937e-13,1.3105960761095047e-12,2.442094488261521e-13,-7.027829956674108e-13,-5.983121272604241e-13
100116,57161454.72236025,62357950.606211185,67554446.4900621,72750942.37391303,77947438.25776398,-15589487.651552783,1.5953180805369178e-12,1.3669503762179111e-12,-5.152865711761408e-13,4.948453655121883e-13,-1.0992907757301908e-12,2.0039046336718786e-12
100120,57160344.35052317,62356739.29147982,67553134.23243648,72749529.17339312,77945924.11434978,-15589184.822869943,1.5861724821821903e-12,-1.8835224029849951e-13,-4.961445637323228e-13,-2.1696638838650522e-12,-1.1025500393087786e-12,-9.62434583117259e-13
100123,57167898.06818182,62364979.7107438,67562061.35330579,72759142.99586776,77956224.63842975,-15591244.92768594,3.816304480878447e-13,-1.5996172858905703e-13,1.4904208874107026e-13,-1.3967541540268037e-12,7.032476835332794e-13,3.199295741093792e-13
100124,57160702.04864131,62357129.5076087,67553556.96657608,72749984.42554347,77946411.88451087,-15589282.376902163,-1.2302477877003937e-13,-1.0988809500026613e-12,1.3218028724699778e-12,-1.348800298503845e-14,-1.0742273616531182e-12,-2.3184024144917714e-12
100125,57165357.98901962,62362208.715294115,67559059.44156863,72755910.16784313,77952760.89411765,-15590552.178823518,-8.645267508414048e-13,-8.939777023228731e-14,3.664618354595006e-13,-2.5456412577024786e-13,-7.855096384529592e-13,-8.22783526133041e-13
100132,57165943.112132825,62362847.03141762,67559750.95070243,72756654.86998722,77953558.78927203,-15590711.757854396,4.2902222146657366e-13,-3.108729394242676e-13,1.4175009966718575e-13,5.329203801680081e-13,8.53955759518321e-13,2.0187870106977475e-12
100134,57169275.49483815,62366482.35800525,67563689.22117236,72760896.08433945,77958102.94750656,-15591620.5895013,3.213418643649265e-13,-3.4387871183820544e-13,-1.1639005109168803e-12,-5.666574432391875e-13,-3.198938149466315e-14,-7.477358870116547e-13
100135,57170520.63179488,62367840.68923077,67565160.74666667,72762480.80410257,77959800.86153845,-15591960.172307683,1.1111754251767427e-12,-5.727992439338217e-13,-4.5093957058457024e-14,-1.5891101540068447e-12,8.500341171687371e-13,-4.176916362643496e-13
100136,57165891.273711346,62362790.48041237,67559689.6871134,72756588.89381443,77953488.10051547,-15590697.620103082,-5.307682510379279e-13,-1.0622789398785776e-12,1.4221575425508522e-13,-7.367626936183008e-13,-1.5180052709303984e-12,-8.676625664608836e-13
100138,57169163.174322404,62366359.826533526,67563556.47874464,72760753.13095577,77957949.7831669,-15591589.95663337,-9.548760577609585e-13,-1.6735539883688328e-12,3.2774081435762907e-12,1.479387226131472e-13,9.615985294447302e-13,1.2944376906540444e-13
100145,57176199.58477158,62374035.910659894,67571872.23654823,72769708.56243655,77967544.88832487,-15593508.977664964,-9.049582854091109e-13,2.5356473829811888e-12,-9.341954733758765e-13,-2.118896710656287e-12,3.3624175074248395e-13,-2.1457604446797995e-12
100151,57179074.58074434,62377172.26990291,67575269.9590615,72773367.64822006,77971465.33737864,-15594293.067475718,6.5718735739219216e-15,1.1755106057917058e-12,-5.475516839649308e-12,4.9087242720766696e-12,1.9097524712295648e-12,-5.304871967809649e-13
100156,57181589.320496894,62379915.622360244,67578241.92422362,72776568.22608696,77974894.52795032,-15594978.905590052,3.4851814326147225e-12,8.270678827794535e-13,-7.275198731923426e-12,-5.087508744166424e-12,-3.4250273424860727e-12,-3.2435062227496186e-14
100157,57183885.71564537,62382420.78070404,67580955.84576271,72779490.91082138,77978025.97588006,-15595605.195176,1.2591674769350577e-12,8.824455001286384e-13,6.51647358412058e-14,3.98762986993915e-12,-1.2989580438361407e-12,-4.553408208214006e-13
100159,57183216.76467819,62381691.01601256,67580165.26734695,72778639.5186813,77977113.7700157,-15595422.75400313,-2.207413738976636e-12,-4.812546663290373e-13,-2.79666504501976e-12,3.9750418202105954e-12,-1.1462639663545422e-12,-5.742252304212686e-12
100162,57196556.02433281,62396242.93563579,67595929.84693877,72795616.75824174,77995303.66954474,-15599060.73390894,1.8225574546855937e-12,-9.484511553949245e-14,8.260801775751966e-13,-9.838555924954357e-13,-8.94930388298866e-14,-1.1186513079885511e-12
100163,57189224.27058824,62388244.65882353,67587265.04705882,72786285.4352941,77985305.8235294,-15597061.164705873,-4.19570696268978e-13,-2.212546594739316e-13,1.2177707099794764e-12,9.819070937596991e-13,7.940336841198034e-13,-1.0587086762825493e-12
100165,57192555.40200617,62391878.62037037,67591201.83873457,72790525.05709875,77989848.27546297,-15597969.65509258,1.0407802877419898e-12,-9.59828581498303e-13,5.479646229222675e-13,-2.44502634873776e-13,-9.621415461329386e-13,-1.2874838369636569e-12
100166,57191593.5,62390829.27272727,67590065.04545455,72789300.81818181,77988536.5909091,-15597707.318181807,1.0590069451548366e-12,-7.902540373929838e-13,3.2917314283659565e-13,-9.056828858414336e-14,-4.71951439183661e-13,-5.613209279265605e-13
100167,57188919.54832665,62387912.234538145,67586904.92074966,72785897.60696118,77984890.29317269,-15596978.058634527,-1.5142966458339771e-12,1.3318318632974167e-12,1.113950520402613e-12,-1.0075840206803125e-12,8.703800732354718e-13,-8.503699009271141e-13
100168,57191034.55375,62390219.51318181,67589404.47261363,72788589.43204544,77987774.39147727,-15597554.878295444,9.606207243803315e-13,2.394645845252538e-12,-1.890764565117629e-12,8.036452816349217e-13,1.6217608064553444e-13,-2.2806176139508496e-13
100169,57189271.2207469,62388295.877178416,67587320.53360996,72786345.19004148,77985369.84647302,-15597073.969294595,-1.9498885370946143e-12,1.7444711727098887e-12,1.7219525329216203e-12,1.746144645811184e-12,1.7421272661749124e-12,-1.1902982057813366e-12
100180,57195317.84481133,62394892.19433962,67594466.54386793,72794040.89339623,77993615.24292453,-15598723.048584895,-8.697420840833388e-13,4.920061562914945e-13,-9.54730005745132e-13,-2.1116717738492947e-12,4.826708564627361e-13,-1.8674440051627358e-13
100182,57202329.36800001,62402541.12872727,67602752.88945454,72802964.65018182,78003176.41090909,-15600635.282181809,-7.735953292095391e-13,-4.531518594707119e-13,8.493628695994244e-13,-4.477180915569768e-13,6.80762113347555e-13,-2.1740904026563095e-12
100184,57202960.00158731,62403229.09264069,67603498.1836941,72803767.27474746,78004036.36580087,-15600807.273160163,1.3729155699109373e-12,-2.339347250464786e-13,-1.907921311719842e-12,1.8173274333211147e-12,-1.4640124930856132e-12,-1.3947207986895347e-12
100185,57203655.18027211,62403987.469387755,67604319.7585034,72804652.04761903,78004984.3367347,-15600996.867346928,8.386071882267394e-13,-5.830238786084195e-13,-5.581032234997518e-13,-5.922745287409493e-13,-5.700667451319099e-13,-2.0967185659650393e-12
100186,57200950.50704699,62401036.91677853,67601123.32651007,72801209.73624161,78001296.14597316,-15600259.229194622,7.426885355778039e-13,-2.6581250250863823e-12,-5.082884150861052e-13,-1.364458136335326e-12,-2.0824442096152203e-12,3.1236665007018613e-12
100188,57202892.00363637,62403154.913057856,67603417.82247934,72803680.73190083,78003943.64132231,-15600788.728264451,-6.420016400959656e-12,2.802146026693129e-12,-3.923857015250118e-12,-1.9678793030370497e-12,-2.2457371132592122e-13,3.839797534111268e-12
100190,57205479.97520436,62405978.15476839,67606476.33433242,72806974.51389645,78007472.6934605,-15601494.538692087,2.143483695110017e-13,-8.229617411394263e-13,1.708566076993084e-12,3.9541001414690684e-13,-8.565624745975095e-13,3.1209794058846933e-12
100191,57211894.22521632,62412975.51841779,67614056.8116193,72815138.10482076,78016219.39802225,-15603243.879604438,1.3526477013048213e-12,1.1701918105023816e-12,7.410504019240398e-13,3.9654476653296297e-13,5.170565253251177e-14,-1.0188136558817173e-12
100193,57209551.70645605,62410420.04340659,67611288.38035715,72812156.71730769,78013025.05425824,-15602605.010851637,-5.479737542844799e-13,-1.1655847227569455e-13,-9.222232257464604e-14,3.339756127329496e-12,-1.0656738007304449e-13,-1.4320028679332314e-12
100197,57216054.06447575,62417513.52488263,67618972.98528951,72820432.4456964,78021891.90610328,-15604378.381220646,-8.378257225535499e-13,7.161418041781863e-13,-1.7677248988197454e-12,-5.437323344135485e-13,4.4045553155006095e-13,-5.346128686676135e-13
100206,57213834.953737125,62415092.67680412,67616350.39987114,72817608.12293814,78018865.84600516,-15603773.16920102,2.4889331718191163e-12,8.02293226126861e-13,-9.77153638645278e-13,-7.6408810550188e-13,-4.635461544965733e-13,-2.785729836956042e-13
100210,57214514.771451615,62415834.29612903,67617153.82080646,72818473.34548387,78019792.8701613,-15603958.574032249,8.305163008927711e-13,-1.1076816883081437e-12,-1.1257203055030855e-12,-1.1071684787615991e-12,-1.10840333327415e-12,1.500963153050304e-12
100211,57212885.967090406,62414057.41864407,67615228.87019774,72816400.3217514,78017571.77330509,-15603514.354661006,-2.3685908852596668e-12,3.671774748654879e-12,2.3215265240629367e-14,2.0119320522211583e-12,-1.1266841195103262e-12,-3.235855086705511e-12
100215,57218998.945043735,62420726.12186588,67622453.29868805,72824180.4755102,78025907.65233237,-15605181.530466463,2.407840690680848e-13,6.069809378149563e-13,-8.446741848241065e-13,6.227451337240872e-13,-6.768738468975684e-13,-4.460367935057972e-13
100224,57218820.622857146,62420531.58857142,67622242.55428572,72823953.52,78025664.48571429,-15605132.897142846,-4.7819924387136594e-12,-3.5937792424484933e-12,-8.52226226096978e-13,3.610130184213068e-12,-2.197462670381803e-13,-7.324870868582626e-13
100227,57221848.39877717,62423834.61684783,67625820.83491848,72827807.05298913,78029793.27105978,-15605958.654211946,2.1841489969300136e-12,-1.5236414183468312e-12,-8.717573764310091e-13,-1.9427816843198759e-13,3.223562721103072e-13,-3.525781719722162e-13
100230,57221080.27862069,62422996.6675862,67624913.05655172,72826829.44551723,78028745.83448276,-15605749.16689654,1.8590209831296337e-12,1.7041012279444908e-12,1.0486760884951951e-12,3.0696969870228743e-12,-2.0773880699944757e-13,5.041975649249778e-12
100232,57222584.79030612,62424637.95306123,67626691.11581632,72828744.27857143,78030797.44132653,-15606159.488265296,2.6440301195639314e-12,-3.8500276285263264e-12,1.6828892776675816e-12,-1.6362270570948413e-12,6.177182726025799e-13,-1.5871986264975087e-12
100249,57246767.90727041,62451019.53520408,67655271.16313776,72859522.79107143,78063774.4190051,-15612754.88380101,3.0194695949908073e-13,-3.235453288505895e-13,-4.26053183662772e-13,-4.925898124770994e-13,3.861403827073383e-13,-7.330604377488368e-13
100252,57234706.041475214,62437861.13615477,67641016.23083435,72844171.3255139,78047326.42019346,-15609465.284038685,4.1820423249623867e-13,1.8525917062677095e-12,-1.038209958686163e-12,5.211013670817999e-14,1.0213761852944041e-12,-1.5030134868795948e-12
100253,57233769.87961696,62436839.86867305,67639909.85772914,72842979.84678522,78046049.83584131,-15609209.967168253,1.8618689201727264e-12,-3.3557652780600195e-13,9.438040864116248e-13,3.766225513551867e-12,5.4533972716833986e-14,7.497999789071741e-13
100256,57230279.050148815,62433031.69107143,67635784.33199404,72838536.97291666,78041289.61383928,-15608257.922767846,-7.045051711319586e-12,-1.1284478642520092e-12,-2.3259126106604335e-12,4.529313101824039e-12,6.961002541579154e-13,-1.2870600749191938e-12
100257,57234311.02014599,62437430.20379562,67640549.38744526,72843668.57109489,78046787.75474453,-15609357.550948894,-2.854942559732439e-14,-2.5036641049085445e-12,4.214160569571783e-12,-2.392794802524167e-13,-8.932964668054703e-13,1.0119363579041e-12
100262,57237383.00091429,62440781.455542855,67644179.91017143,72847578.36479999,78050976.81942858,-15610195.363885703,-1.2204510418151974e-13,1.9043177193874988e-12,-6.824788353502039e-13,6.920985689313446e-13,-1.5059453366867663e-12,-1.5492384518113665e-12
100264,57237935.09958334,62441383.745000005,67644832.39041667,72848281.03583333,78051729.68125,-15610345.93624999,-1.4465456610324169e-12,1.899026306576938e-12,-2.97950337241954e-12,-3.891371792698174e-13,-1.2756135653941354e-12,-1.4948631838546728e-12
100269,57249532.772322506,62454035.75162455,67658538.7309266,72863041.71022864,78067544.68953069,-15613508.937906127,1.8061337958056e-13,-1.3153163542957425e-13,-5.518698214016872e-13,-2.4755167831389233e-13,3.0905616346629147e-14,2.8881242897973283e-13
100273,57253162.17569269,62457995.10075567,67662828.02581865,72867660.9508816,78072493.87594458,-15614498.775188908,7.245614687579427e-13,-4.172195754288953e-13,-2.629771575425022e-13,4.4359254584710686e-13,-1.6183528069284084e-14,-7.518379985193693e-13
100275,57244053.416850835,62448058.27292818,67652063.12900552,72856067.98508286,78060072.84116022,-15612014.568232033,-6.880404778761852e-13,-1.4328351274031877e-12,-2.3825015011809506e-12,5.600118281930923e-13,-4.761031961554485e-13,-5.1362149646971775e-12
100278,57247127.40483029,62451411.71436031,67655696.02389035,72859980.33342035,78064264.64295039,-15612852.928590067,-4.1754821242586437e-14,-2.638950850705228e-13,-7.252202899712934e-13,1.5022410353675192e-12,9.669607731290091e-13,-9.91135807021356e-13
100280,57251745.93306667,62456450.1088,67661154.28453334,72865858.46026666,78070562.636,-15614112.52719999,-4.821911758767783e-13,1.8997422894055186e-12,-2.5513040569080658e-12,-6.15462347752782e-13,-1.0738145187853357e-12,-1.6020612984372443e-12
100281,57253274.7995614,62458117.963157885,67662961.12675439,72867804.29035087,78072647.45394737,-15614529.490789464,-1.9405623956350803e-12,1.1510227469002849e-12,9.325581242897467e-14,2.6597437702572567e-13,4.156658772865817e-13,2.8143991360940027e-13
100282,57253752.431232885,62458639.01589041,67663525.60054795,72868412.18520547,78073298.76986301,-15614659.753972592,-5.328480427058895e-13,-5.936453763878215e-13,-8.323789146531565e-13,-1.2109278572259501e-13,5.001676394213002e-13,-2.915628165080668e-13
100283,57256609.02693936,62461755.30211565,67666901.57729197,72872047.85246825,78077194.12764457,-15615438.825528903,-8.051735113154632e-13,4.3715885010057597e-13,-2.274670030768959e-13,-7.636308134958644e-13,1.0235911789067332e-13,-2.286492574966307e-13
100289,57258819.823022604,62464167.07966102,67669514.33629945,72874861.59293784,78080208.84957626,-15616041.769915244,9.412960053596489e-13,-6.72918720118241e-13,4.808924758717399e-13,5.581803067464645e-13,6.772579985839793e-13,-1.139618844991856e-13
100294,57255810.61463105,62460884.30687022,67665957.99910942,72871031.6913486,78076105.38358779,-15615221.076717546,-3.233480771798678e-13,8.053128421394898e-13,1.3077579731592263e-13,-4.282231905798278e-13,-9.842711887261548e-13,-6.524515166194526e-13
100298,57265482.55414712,62471435.51361502,67677388.47308294,72883341.43255085,78089294.39201878,-15617858.878403746,-1.1530835406656464e-12,1.2233337278319592e-13,5.11932697589598e-14,8.668444157574456e-13,-8.612238031053918e-14,6.524775503407375e-14
